城市,總和支出,家電用品,男性服飾,女性服飾,電子產品,食品,有裝潢含兩房公寓每月房租,無裝潢含三房公寓每月房租,一般套房租金,服務業消費,大眾運輸工具（巴士、電車、捷運）,火車票,計程車,基本旅費總和,餐廳帳單,住宿費（高等旅館）,住宿費（中等旅館）
阿姆斯特丹，荷蘭,2181.6,830.0,950.0,660.0,4100.0,299.9,1140.0,1620.0,1220.0,554.6,2.7,28.0,16.2,570,90.0,250.0,170.0
雅典，希臘,1970.1,670.0,750.0,590.0,3590.0,342.8,740.0,850.0,770.0,460.6,1.4,15.1,5.0,530,80.0,290.0,100.0
奧克蘭，紐西蘭,2766.5,1150.0,580.0,650.0,4130.0,463.8,1060.0,1390.0,1250.0,695.4,3.2,40.6,19.7,580,110.0,210.0,140.0
曼谷，泰國,1923.4,530.0,350.0,220.0,3110.0,517.7,820.0,1040.0,500.0,323.2,0.7,3.3,1.9,320,50.0,180.0,110.0
巴賽隆納，西班牙,2111.9,820.0,840.0,570.0,3390.0,350,780.0,820.0,740.0,529.8,2.3,25.4,10.3,600,110.0,250.0,160.0
北京，中國,2051.6,490.0,630.0,400.0,2960.0,532.6,1150.0,1630.0,1390.0,350.8,0.5,15.6,4.4,350,50.0,200.0,100.0
柏林，德國,2116.6,880.0,620.0,440.0,3420.0,418.9,850.0,1140.0,690.0,447.1,2.9,55.1,14.8,620,70.0,240.0,120.0
波哥大，哥倫比亞,1791.1,680.0,440.0,280.0,2680.0,288.5,840.0,1210.0,380.0,424.7,0.7,N/A,1.7,590,90.0,280.0,150.0
布拉提斯拉瓦，斯洛伐克,1781.3,900.0,300.0,220.0,3550.0,302.5,670.0,720.0,580.0,370.6,0.9,9.0,6.3,450,80.0,190.0,90.0
布魯塞爾，比利時,2245.2,980.0,710.0,440.0,3480.0,378.8,1300.0,1490.0,1340.0,578.1,2.2,22.8,12.7,580,120.0,190.0,140.0
布加勒斯特，羅馬尼亞,1464.4,420.0,410.0,280.0,3410.0,248.3,420.0,610.0,370.0,304.9,0.5,14.3,3.3,260,40.0,110.0,70.0
布達佩斯，匈牙利,1591.2,800.0,370.0,290.0,3110.0,289.2,620.0,760.0,640.0,310.5,1.3,15.2,7.3,430,60.0,220.0,70.0
布宜諾斯艾利斯，阿根廷,2351.6,1060.0,760.0,510.0,4330.0,462,810.0,1040.0,710.0,536.5,0.5,N/A,4.8,700,60.0,440.0,150.0
開羅，埃及,1606.2,480.0,520.0,250.0,2790.0,374,640.0,780.0,500.0,340.2,0.2,4.6,2.4,480,60.0,260.0,80.0
芝加哥，美國,2791.5,1120.0,1300.0,1270.0,3350.0,586,2520.0,2960.0,2210.0,644.7,1.9,37.0,12.8,700,100.0,390.0,180.0
哥本哈根，丹麥,2941,950.0,790.0,650.0,3630.0,471.4,1420.0,2020.0,1650.0,760.2,4.6,49.0,15.5,780,110.0,300.0,190.0
多哈，卡達,2166,430.0,720.0,410.0,3980.0,426.2,2230.0,2500.0,2050.0,544.9,0.9,N/A,3.7,740,100.0,400.0,170.0
杜拜，阿聯,2375.3,550.0,1250.0,890.0,2900.0,460.5,2320.0,3240.0,1380.0,538.4,1.1,N/A,6.3,790,90.0,430.0,130.0
都柏林，愛爾蘭,2351.3,540.0,430.0,240.0,3310.0,386.4,1650.0,2360.0,1760.0,614.8,3.2,30.5,11.4,660,110.0,320.0,160.0
法蘭克福，德國,2200.1,780.0,690.0,500.0,3420.0,378.9,990.0,1360.0,1220.0,514,3.0,59.5,15.0,700,80.0,290.0,120.0
日內瓦，瑞士,3545.5,1290.0,1680.0,1010.0,3750.0,623.1,2810.0,2700.0,1610.0,954.1,3.1,77.6,20.6,1020,140.0,410.0,200.0
赫爾辛基，芬蘭,2484.8,810.0,1100.0,550.0,3420.0,399.1,1460.0,1600.0,1440.0,523.4,2.9,33.9,15.2,800,80.0,380.0,120.0
香港,2434.9,1170.0,480.0,350.0,3480.0,510.7,4410.0,4220.0,2590.0,410,1.3,26.2,3.7,640,90.0,250.0,170.0
伊斯坦堡，土耳其,2166.3,530.0,850.0,460.0,3550.0,410.3,890.0,1080.0,970.0,463.8,0.7,14.1,5.7,440,90.0,200.0,130.0
雅加達，印尼,1782.6,440.0,300.0,170.0,2940.0,357.6,530.0,750.0,260.0,311.4,0.3,8.5,2.7,690,40.0,340.0,210.0
約翰尼斯堡，南非,1556.5,480.0,390.0,220.0,2830.0,273.4,1080.0,1500.0,690.0,389.8,0.8,16.7,6.3,450,40.0,290.0,150.0
基輔，烏克蘭,1273.5,750.0,370.0,300.0,3560.0,165.9,400.0,540.0,390.0,207.7,0.2,3.3,1.6,550,50.0,380.0,90.0
吉隆坡，馬來西亞,1736.4,410.0,260.0,150.0,3440.0,292.4,570.0,630.0,560.0,377.5,0.4,8.7,2.8,550,110.0,240.0,70.0
利馬，秘魯,1743.4,570.0,300.0,250.0,4270.0,317.2,760.0,890.0,800.0,413.8,0.7,N/A,6.4,560,80.0,290.0,110.0
里斯本，葡萄牙,1856.3,780.0,650.0,280.0,2970.0,299.4,710.0,1020.0,760.0,393.8,1.8,23.3,8.1,460,60.0,250.0,110.0
盧比安納，斯洛伐尼亞,1805.9,640.0,520.0,360.0,3390.0,377.5,760.0,1080.0,540.0,345.8,1.5,14.0,5.5,490,60.0,240.0,90.0
倫敦，英國,2831.9,1060.0,680.0,520.0,3150.0,567.9,2840.0,3350.0,2360.0,703.1,4.0,74.0,10.1,750,60.0,400.0,180.0
洛杉磯，美國,2540.3,900.0,1090.0,650.0,3500.0,515.6,1670.0,2210.0,1990.0,561.7,1.5,36.7,15.7,620,100.0,290.0,150.0
盧森堡,2417.9,720.0,740.0,640.0,4250.0,444.3,1940.0,2430.0,2130.0,585.9,2.2,31.6,22.3,720,120.0,240.0,150.0
里昂，法國,2164.6,730.0,510.0,380.0,3330.0,412.7,640.0,820.0,670.0,546.3,2.0,32.5,12.0,650,70.0,240.0,130.0
馬德里，西班牙,2024.3,830.0,850.0,480.0,3820.0,314.8,940.0,1340.0,900.0,568.7,2.0,29.1,11.4,650,110.0,350.0,130.0
麥納瑪，巴林,2226.9,680.0,620.0,280.0,3620.0,377.6,1120.0,1470.0,890.0,582.5,0.8,N/A,8.0,720,110.0,390.0,230.0
馬尼拉，菲律賓,1713.6,820.0,260.0,160.0,4100.0,333,890.0,900.0,190.0,360.9,0.5,1.0,3.0,450,60.0,230.0,100.0
墨西哥城，墨西哥,1829.2,580.0,540.0,340.0,3640.0,249.1,990.0,1410.0,770.0,454.9,0.3,N/A,3.7,540,70.0,280.0,100.0
邁阿密，美國,2542.5,580.0,1030.0,960.0,4190.0,582.9,1840.0,2180.0,1970.0,533.4,2.3,33.5,14.4,780,110.0,420.0,240.0
米蘭，義大利,2603.1,710.0,1220.0,1160.0,3240.0,405.2,1090.0,1490.0,1340.0,565.6,1.6,28.6,17.3,670,110.0,300.0,200.0
蒙特婁，加拿大,2548.3,1120.0,1100.0,500.0,3600.0,532.1,640.0,670.0,590.0,559.6,2.6,52.1,17.6,570,90.0,210.0,120.0
莫斯科，俄國,1735.1,920.0,630.0,400.0,3340.0,336.4,1080.0,1540.0,1020.0,394.7,0.9,24.6,7.9,710,110.0,350.0,140.0
孟買，印度,1500,480.0,430.0,260.0,3860.0,253.5,770.0,970.0,550.0,194.4,0.7,1.8,1.8,300,40.0,170.0,100.0
慕尼黑，德國,2188.9,850.0,940.0,720.0,3190.0,389.9,1210.0,1580.0,1370.0,529.4,2.9,59.8,14.0,830,90.0,380.0,110.0
奈洛比，肯亞,1682.5,710.0,450.0,220.0,3470.0,317.8,700.0,790.0,480.0,354.9,0.6,10.1,7.1,380,40.0,230.0,120.0
新德里，印度,1520.4,560.0,450.0,220.0,4100.0,232.9,570.0,720.0,640.0,215,0.4,10.1,1.5,340,40.0,220.0,110.0
紐約，美國,3342.3,890.0,1060.0,1040.0,3480.0,631.6,4620.0,4320.0,3890.0,742,2.8,52.5,11.7,1030,100.0,590.0,380.0
尼古西亞，賽普勒斯,2016.4,1150.0,840.0,590.0,3180.0,303.5,690.0,950.0,690.0,432.5,1.6,N/A,8.4,550,50.0,250.0,90.0
奧斯陸，挪威,3104.5,1100.0,660.0,350.0,3750.0,535.7,1940.0,2150.0,1940.0,817.4,3.8,61.8,32.1,980,150.0,280.0,170.0
巴黎，法國,2425.9,820.0,830.0,480.0,3420.0,425.2,1670.0,2090.0,1610.0,604.6,2.0,43.8,12.4,890,60.0,410.0,130.0
布拉格，捷克,1522.5,550.0,350.0,270.0,3120.0,251,510.0,630.0,550.0,301.9,1.2,8.4,6.0,500,40.0,200.0,90.0
里加，拉脫維亞,1529.2,590.0,400.0,290.0,2880.0,252.7,680.0,910.0,360.0,309.1,1.3,7.8,6.7,460,70.0,230.0,70.0
里約熱內盧，巴西,1936.4,580.0,240.0,160.0,4170.0,330.4,1380.0,1540.0,590.0,455.3,1.2,N/A,5.1,470,50.0,290.0,110.0
羅馬，義大利,2241.8,1070.0,840.0,410.0,3100.0,393.4,1220.0,1600.0,1280.0,511.8,1.6,27.0,14.2,710,100.0,380.0,160.0
聖地牙哥，智利,1765.2,560.0,360.0,280.0,4180.0,307.7,990.0,1090.0,710.0,443.8,1.1,9.1,7.1,570,70.0,250.0,120.0
聖保羅，巴西,1984.4,510.0,510.0,350.0,3700.0,303.5,930.0,1330.0,910.0,514.8,1.1,N/A,6.5,500,80.0,240.0,100.0
首爾，南韓,2646,800.0,1070.0,900.0,4480.0,687.7,970.0,1270.0,1140.0,410,1.1,23.1,4.5,670,90.0,400.0,140.0
上海，中國,2168,430.0,500.0,310.0,2880.0,518.3,1120.0,1330.0,1090.0,447.1,0.4,12.0,3.1,670,70.0,470.0,140.0
索菲亞，保加利亞,1304.3,470.0,610.0,360.0,3050.0,214,270.0,350.0,310.0,316.3,0.6,7.6,3.0,300,50.0,160.0,60.0
斯德哥爾摩，瑞典,2568.6,1120.0,1280.0,550.0,3330.0,436.6,1240.0,1350.0,880.0,556.7,4.2,41.8,18.6,610,100.0,230.0,150.0
雪梨，澳大利亞,2690.4,1120.0,580.0,580.0,3910.0,541.3,2050.0,2940.0,1780.0,666.9,2.6,6.8,11.5,690,70.0,470.0,170.0
台北，台灣,2248.8,620.0,860.0,720.0,3810.0,460.3,2030.0,2740.0,1840.0,517.4,0.5,11.3,4.6,820,150.0,390.0,120.0
塔林，愛沙尼亞,1819.3,540.0,820.0,510.0,3970.0,270.3,670.0,920.0,690.0,330.3,1.7,11.8,6.5,540,60.0,300.0,100.0
特拉維夫，以色列,2405.3,1090.0,720.0,550.0,3760.0,413.8,1520.0,1790.0,1160.0,547.8,1.8,18.8,11.0,650,80.0,430.0,190.0
東京，日本,2776.1,1580.0,1140.0,790.0,4260.0,582.1,1370.0,1920.0,1730.0,663.1,1.5,51.8,7.3,1000,220.0,500.0,280.0
多倫多，加拿大,2609.3,1370.0,990.0,450.0,3120.0,397,1110.0,1250.0,1120.0,583.7,2.4,38.5,15.9,710,60.0,390.0,200.0
維也納，奧地利,2187.1,740.0,720.0,560.0,3250.0,443,1010.0,1120.0,800.0,446.5,2.3,43.4,14.4,630,90.0,240.0,90.0
維爾紐斯，立陶宛,1702.1,740.0,720.0,390.0,3470.0,268.8,590.0,820.0,550.0,306.4,0.9,10.5,4.5,380,40.0,200.0,80.0
華沙，波蘭,1632.1,640.0,670.0,500.0,3810.0,253.3,590.0,840.0,630.0,308.8,0.9,13.7,5.6,490,60.0,190.0,90.0
蘇黎世，瑞士,3632.5,1540.0,1110.0,680.0,3610.0,737.8,2500.0,2390.0,1770.0,996.4,3.8,73.4,27.6,1050,150.0,440.0,320.0
